2020-05-15 10:16:33.219 [main] INFO  c.a.n.client.config.impl.LocalConfigInfoProcessor - LOCAL_SNAPSHOT_PATH:/Users/lizhengyu/nacos/config
2020-05-15 10:16:33.269 [main] INFO  com.alibaba.nacos.client.config.impl.Limiter - limitTime:5.0
2020-05-15 10:16:33.324 [main] INFO  o.s.c.b.c.PropertySourceBootstrapConfiguration - Located property source: CompositePropertySource {name='NACOS', propertySources=[NacosPropertySource {name='null.properties,DEFAULT_GROUP'}]}
2020-05-15 10:16:33.346 [main] INFO  c.c.c.CloudMessagemachineApplicationTests - No active profile set, falling back to default profiles: default
2020-05-15 10:16:34.187 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2020-05-15 10:16:34.191 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2020-05-15 10:16:34.228 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 20ms. Found 0 Redis repository interfaces.
2020-05-15 10:16:34.594 [main] INFO  o.springframework.cloud.context.scope.GenericScope - BeanFactory id=46e7a28f-0c66-313e-a2f4-10703563cb1c
2020-05-15 10:16:34.899 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-05-15 10:16:35.822 [main] INFO  com.netflix.config.sources.URLConfigurationSource - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2020-05-15 10:16:35.839 [main] INFO  com.netflix.config.sources.URLConfigurationSource - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2020-05-15 10:16:36.362 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-05-15 10:16:36.783 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskScheduler - Initializing ExecutorService 'taskScheduler'
2020-05-15 10:16:36.802 [main] INFO  com.alibaba.nacos.client.naming - initializer namespace from System Property :null
2020-05-15 10:16:36.803 [main] INFO  com.alibaba.nacos.client.naming - initializer namespace from System Environment :null
2020-05-15 10:16:36.803 [main] INFO  com.alibaba.nacos.client.naming - initializer namespace from System Property :null
